Name,observation_value,Trait,Year
FC19976,16.2,oil,2020
FC19979-6,20.4,oil,2020
FC30233,20.8,oil,2020
FC30265,18.6,oil,2020
FC30282,17.85,oil,2020
FC31557,18.4,oil,2020
FC31665,18.9,oil,2020
FC31737,16.9,oil,2020
FC32141,19.9,oil,2020
FC3654-1,19.1,oil,2020
PI133226,13.1,oil,2020
PI153203,17,oil,2020
PI153219,17.6,oil,2020
PI153223,17.4,oil,2020
PI153238,20.2,oil,2020
PI153242,20.6,oil,2020
PI153245,20.6,oil,2020
PI153271,17.8,oil,2020
PI153284,18.85,oil,2020
PI153288,20.2,oil,2020
PI153319,20.8,oil,2020
PI154199,17.4,oil,2020
PI157422,19.4,oil,2020
PI157424,19,oil,2020
PI157448,20.5,oil,2020
PI157449,19.3,oil,2020
PI157456,18.3,oil,2020
PI157469,21.25,oil,2020
PI157470,19.15,oil,2020
PI159093,17.45,oil,2020
PI165674,17.5,oil,2020
PI166140,18.55,oil,2020
PI170893,17.8,oil,2020
PI171438,13,oil,2020
PI171441,10.2,oil,2020
PI174863,13.8,oil,2020
PI175177,12.2,oil,2020
PI175179,14,oil,2020
PI175192,12.5,oil,2020
PI175199,10.9,oil,2020
PI179822,19.9,oil,2020
PI180529,20.3,oil,2020
PI181532,20.4,oil,2020
PI181560,16.9,oil,2020
PI184043,19.8,oil,2020
PI184045,20.2,oil,2020
PI189857,19.1,oil,2020
PI189870,17.3,oil,2020
PI189875,17,oil,2020
PI189885,20.6,oil,2020
PI189915,19.5,oil,2020
PI189916,20.2,oil,2020
PI189929,21.8,oil,2020
PI189931,20,oil,2020
PI189938,19.7,oil,2020
PI189951,15.2,oil,2020
PI192869,14.7,oil,2020
PI194631,19,oil,2020
PI194638,20.6,oil,2020
PI194641,19.3,oil,2020
PI196156,19.6,oil,2020
PI196157,19.7,oil,2020
PI196491,19.5,oil,2020
PI200446,19.4,oil,2020
PI200447,15.55,oil,2020
PI200450,19.25,oil,2020
PI200451,17.6,oil,2020
PI200452,15,oil,2020
PI200457,19.2,oil,2020
PI200458,19,oil,2020
PI200466,19.45,oil,2020
PI200470,18.3,oil,2020
PI200472,18.9,oil,2020
PI200493,18.1,oil,2020
PI200520,17.75,oil,2020
PI200523,18.5,oil,2020
PI200531,16.4,oil,2020
PI200547,15,oil,2020
PI200550,14.9,oil,2020
PI203402,16.5,oil,2020
PI204335,13.8,oil,2020
PI204339,16.7,oil,2020
PI205384,18.8,oil,2020
PI205911,14.7,oil,2020
PI206258,15.2,oil,2020
PI209577,16,oil,2020
PI209836,17.2,oil,2020
PI219789,18.35,oil,2020
PI224270,17.95,oil,2020
PI224272,18.7,oil,2020
PI226590,19.2,oil,2020
PI227221,18.2,oil,2020
PI227325,20.5,oil,2020
PI227329,22,oil,2020
PI227686,17.1,oil,2020
PI229316,16,oil,2020
PI229346,15.7,oil,2020
PI229347,19.85,oil,2020
PI229353,17.6,oil,2020
PI229359,18.9,oil,2020
PI232993,20.1,oil,2020
PI235346,19.9,oil,2020
PI238924,19.85,oil,2020
PI238931,18.5,oil,2020
PI240665,15.1,oil,2020
PI240666,14.9,oil,2020
PI243521,17.3,oil,2020
PI243525,17.6,oil,2020
PI243526,19.65,oil,2020
PI246366,18.3,oil,2020
PI247679,13.7,oil,2020
PI248397,19.5,oil,2020
PI248406,19.6,oil,2020
PI248512,19.1,oil,2020
PI253652A,20.5,oil,2020
PI253663,16.5,oil,2020
PI253666B,18.5,oil,2020
PI257433,21.3,oil,2020
PI257438,20.3,oil,2020
PI266806B,22.8,oil,2020
PI269518B,15.45,oil,2020
PI269518C,17.05,oil,2020
PI273483A,17.8,oil,2020
PI274205,16.4,oil,2020
PI279648,19.8,oil,2020
PI281883C,19,oil,2020
PI281893,17.7,oil,2020
PI283331,18.9,oil,2020
PI284815,15.75,oil,2020
PI290122,19.2,oil,2020
PI290128,17.5,oil,2020
PI291283,19.8,oil,2020
PI291284,18.4,oil,2020
PI291291,18,oil,2020
PI291301,19.3,oil,2020
PI295951,19.6,oil,2020
PI297512,19.3,oil,2020
PI297524,19.95,oil,2020
PI297540,19.3,oil,2020
PI297549,18.5,oil,2020
PI303651,16.4,oil,2020
PI303652,15,oil,2020
PI307881,13.2,oil,2020
PI307889A,18.2,oil,2020
PI307899A,20.6,oil,2020
PI309658,15.2,oil,2020
PI315701,14.5,oil,2020
PI317333,19.8,oil,2020
PI319532,18.5,oil,2020
PI319534A,18,oil,2020
PI322691,18.5,oil,2020
PI322694,18.25,oil,2020
PI323276,16.2,oil,2020
PI323555,16.8,oil,2020
PI323569,16.1,oil,2020
PI323577,14.2,oil,2020
PI323586B,17.4,oil,2020
PI324068,15,oil,2020
PI324189,16.1,oil,2020
PI325779,21.3,oil,2020
PI339734,10.9,oil,2020
PI339735B,10.4,oil,2020
PI339865B,16.4,oil,2020
PI339871B,9.8,oil,2020
PI339983,17.3,oil,2020
PI339984,14.6,oil,2020
PI339985,18.25,oil,2020
PI339989,21.25,oil,2020
PI340000,15.25,oil,2020
PI340017,17.1,oil,2020
PI340037,15.8,oil,2020
PI340038,16.8,oil,2020
PI340042,14.9,oil,2020
PI340048,17.5,oil,2020
PI340050,16.8,oil,2020
PI342438,18.6,oil,2020
PI342619A,14.9,oil,2020
PI342620B,8.05,oil,2020
PI346307,19.4,oil,2020
PI346308,16.3,oil,2020
PI347540A,19.4,oil,2020
PI347559A,19,oil,2020
PI347563B,18.65,oil,2020
PI355070S,20.4,oil,2020
PI358318B,18.6,oil,2020
PI358321B,19.3,oil,2020
PI358321C,19.8,oil,2020
PI360838,15.6,oil,2020
PI360844,18,oil,2020
PI360957,19.1,oil,2020
PI360963B,19.4,oil,2020
PI361068,20.85,oil,2020
PI361074,20.3,oil,2020
PI361083,18.1,oil,2020
PI361085B,19,oil,2020
PI361094,17.8,oil,2020
PI361110,19.8,oil,2020
PI361118,18,oil,2020
PI361122,19.2,oil,2020
PI361123A,19.05,oil,2020
PI366121,10.05,oil,2020
PI371611,22.3,oil,2020
PI372413,21.7,oil,2020
PI372423,15.6,oil,2020
PI374181,12.7,oil,2020
PI374221,19.4,oil,2020
PI376845,14.9,oil,2020
PI378664B,18.6,oil,2020
PI378665,19.6,oil,2020
PI378666,19.2,oil,2020
PI378669B,16.7,oil,2020
PI378671,18.2,oil,2020
PI378672,18.7,oil,2020
PI378686B,9.3,oil,2020
PI379559A,18.1,oil,2020
PI379560,16.7,oil,2020
PI381667,19,oil,2020
PI381671,17.2,oil,2020
PI381675,15.3,oil,2020
PI381680,14.9,oil,2020
PI384467,20.75,oil,2020
PI391587,10.05,oil,2020
PI391597,18,oil,2020
PI393563,18.5,oil,2020
PI398181,16.3,oil,2020
PI398184,19.7,oil,2020
PI398190,15.7,oil,2020
PI398192,17.2,oil,2020
PI398195,19.1,oil,2020
PI398198,16.7,oil,2020
PI398203,20.4,oil,2020
PI398212,20.35,oil,2020
PI398225,15.3,oil,2020
PI398228,18,oil,2020
